amfi_code,scheme_name,fund_house,category,cagr_3yr,sharpe_computed,sortino_computed,max_drawdown_pct,alpha_ann_pct,beta_computed,expense_ratio_pct,score_3yr_return,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,20.81,0.1296,0.2211,-21.75,7.5442,0.0478,0.75,38.46,71.79,64.1,17.95,76.92,52.69,19
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.39,0.4957,1.0521,-0.1,6.799,-0.0034,0.74,71.79,56.41,69.23,15.38,0.0,51.79,20
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,20.0,0.6649,1.138,-11.51,,,0.89,41.03,46.15,98.72,30.77,23.08,50.51,21
120506,ICICI Pru Value Discovery Fund - Regular - Gr,ICICI Prudential MF,Value,18.42,0.6489,1.0959,-19.83,16.6833,-0.0187,1.41,48.72,48.72,46.15,46.15,66.67,49.62,22
148568,Mirae Asset Emerging Bluechip Fund - Regular ,Mirae Asset MF,Large & Mid Cap,14.74,0.9263,1.6327,-15.27,21.0426,-0.0156,1.52,58.97,35.9,33.33,65.38,46.15,47.75,23
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,13.97,0.798,1.3379,-13.9,17.6081,-0.0018,1.42,61.54,41.03,38.46,48.72,33.33,47.05,24
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,18.43,0.7758,1.3307,-15.2,17.2594,0.0386,0.92,46.15,43.59,41.03,33.33,43.59,42.31,25
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,21.08,0.6452,1.1545,-18.63,15.3508,0.0112,0.72,35.9,51.28,51.28,11.54,64.1,41.99,26
118632,Nippon India Large Cap Fund - Regular - Growt,Nippon India MF,Large Cap,22.65,1.0817,1.8501,-17.41,21.0616,0.0462,1.51,33.33,17.95,30.77,60.26,56.41,35.32,27
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,16.26,0.9533,1.6098,-11.8,19.7715,0.001,0.66,56.41,28.21,35.9,7.69,25.64,34.87,28
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,26.99,0.9498,1.6198,-31.17,28.775,0.0821,1.52,23.08,30.77,5.13,65.38,92.31,34.68,29
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,26.66,0.9453,1.6753,-28.71,30.6218,-0.0222,1.43,28.21,33.33,0.0,51.28,89.74,33.46,30
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,26.86,1.1321,1.8751,-17.25,27.8138,-0.0761,1.61,25.64,12.82,10.26,94.87,53.85,32.56,31
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,28.96,1.0272,1.7996,-11.29,22.6333,-0.0728,1.6,20.51,20.51,23.08,91.03,20.51,31.6,32
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,29.17,1.2349,2.1469,-16.4,27.6151,0.0443,1.6,17.95,5.13,12.82,91.03,51.28,28.01,33
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,30.45,1.2083,2.1403,-15.01,21.4535,0.1027,1.54,12.82,7.69,28.21,75.64,41.03,26.86,34
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,35.1,0.9982,1.7038,-20.96,24.4335,0.0896,1.38,0.0,25.64,20.51,41.03,69.23,23.59,35
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,32.48,1.0265,1.8053,-12.59,22.2664,-0.0636,0.8,5.13,23.08,25.64,28.21,28.21,19.49,36
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,29.58,1.3067,2.3643,-12.97,27.4649,-0.0127,1.45,15.38,2.56,15.38,53.85,30.77,19.48,37
100033,HDFC Mid-Cap Opportunities Fund - Regular - G,HDFC Mutual Fund,Mid Cap,32.43,1.0937,1.8291,-16.22,28.58,-0.0852,1.38,7.69,15.38,7.69,41.03,48.72,18.72,38
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,31.77,1.1801,2.0294,-18.19,29.1004,0.0103,1.36,10.26,10.26,2.56,35.9,61.54,17.69,39
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,33.99,1.4483,2.3856,-11.27,26.8681,0.0117,1.46,2.56,0.0,17.95,56.41,17.95,14.61,40
